StableID,Faction,Bloc,Class,Name,Dimensions_Cm,Footprint,Pivot,Subparts,Sockets,Collision,ExportStatus,FilePath,ConceptPromptRef,ModelPromptRef,IconPath
RU_PoleCommand,Россия,EurasianPact,Building,Полевой командный пункт (MCV),800x700x500,4x4,"BottomCenter (0,0,0)","MainBuilding, Wheels, BeaconMast, EntranceGate","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Beacon",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_PoleCommand.fbx,04_Buildings#40,03_Units_3D_models,Icons/Pact/RU_PoleCommand.png
RU_HQ,Россия,EurasianPact,Building,Штаб,800x800x600,4x4,"BottomCenter (0,0,0)","MainBuilding, RadarMast, CommsDish, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_HQ.fbx,04_Buildings#41,03_Units_3D_models,Icons/Pact/RU_HQ.png
RU_PowerPlant,Россия,EurasianPact,Building,Электростанция,600x600x500,3x3,"BottomCenter (0,0,0)","MainBuilding, CoolingTower, ReactorBlock, PowerLines","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX_Power",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_PowerPlant.fbx,04_Buildings#42,03_Units_3D_models,Icons/Pact/RU_PowerPlant.png
RU_Refinery,Россия,EurasianPact,Building,Перерабатывающий комплекс,800x800x450,4x4,"BottomCenter (0,0,0)","MainBuilding, Hopper, Conveyor, SmeltingStacks, DockBay","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Dock",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_Refinery.fbx,04_Buildings#43,03_Units_3D_models,Icons/Pact/RU_Refinery.png
RU_Barracks,Россия,EurasianPact,Building,Казарма мобилизации,600x600x400,3x3,"BottomCenter (0,0,0)","MainBuilding, SlitWindows, FlagPole, Sandbags","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_Barracks.fbx,04_Buildings#44,03_Units_3D_models,Icons/Pact/RU_Barracks.png
RU_WarFactory,Россия,EurasianPact,Building,Завод бронетехники,800x800x500,4x4,"BottomCenter (0,0,0)","MainBuilding, Crane, AssemblyBay, RollerDoors, ExitRamp","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Exit",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_WarFactory.fbx,04_Buildings#45,03_Units_3D_models,Icons/Pact/RU_WarFactory.png
RU_Airfield,Россия,EurasianPact,Building,Аэродром,800x800x450,4x4,"BottomCenter (0,0,0)","MainBuilding, ControlTower, Pads, HardenedShelters","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Pad1, SOCKET_Pad2, SOCKET_Pad3",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_Airfield.fbx,04_Buildings#46,03_Units_3D_models,Icons/Pact/RU_Airfield.png
RU_NavalYard,Россия,EurasianPact,Building,Военно-морская база,1000x1000x500,5x5,"BottomCenter (0,0,0)","MainBuilding, DrydockCradle, GantryCrane, SubmarineSlip, DestroyerSlip","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Dock",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_NavalYard.fbx,04_Buildings#47,03_Units_3D_models,Icons/Pact/RU_NavalYard.png
RU_Radar,Россия,EurasianPact,Building,Радарный узел,400x400x700,2x2,"BottomCenter (0,0,0)","MainBuilding, RotatingArray, CommsTower, BunkerBase","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX_Radar",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_Radar.fbx,04_Buildings#48,03_Units_3D_models,Icons/Pact/RU_Radar.png
RU_TechCenter,Россия,EurasianPact,Building,Центр перспективных разработок,600x600x550,3x3,"BottomCenter (0,0,0)","MainBuilding, TeslaCoils, ReinforcedDome, VioletGlow","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX_Tesla",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_TechCenter.fbx,04_Buildings#49,03_Units_3D_models,Icons/Pact/RU_TechCenter.png
