ID,Category,Asset Name,Faction,Visual Direction,Target Polycount,Texture Specs,LOD Levels,Nanite Compatible,Skeleton / Rig,Animation Count,License Status,Local Import Path,Linked Objects
BLD_SOV_01,Building,Soviet HQ / Command Post,Soviet Union,Monumental Industrial Brutalism,45000,4K PBR (Diff/Normal/ORM/ColorMask),4,True,None,0,Acquired / Procedural Placeholder,/Game/Buildings/Soviets/SM_SovietHQ,ABuilding_SovietHQ
BLD_SOV_02,Building,Soviet Reactor,Soviet Union,Analog Nuclear Metalwork,30000,4K PBR (Diff/Normal/ORM/ColorMask),4,True,None,0,Acquired / Procedural Placeholder,/Game/Buildings/Soviets/SM_SovietReactor,ABuilding_SovietReactor
BLD_ALL_01,Building,Alliance HQ / Cybernetics Core,Alliance,Sleek High-Tech Sci-Fi,40000,4K PBR (Diff/Normal/ORM/ColorMask),4,True,None,0,Acquired / Procedural Placeholder,/Game/Buildings/Alliance/SM_AllianceHQ,ABuilding_AllianceHQ
BLD_EAS_01,Building,Eastern Dynasty Base Hub,Eastern Coalition,Neo-Asian Industrial Robotics,42000,4K PBR (Diff/Normal/ORM/ColorMask),4,True,None,0,Acquired / Procedural Placeholder,/Game/Buildings/Eastern/SM_EasternHQ,ABuilding_EasternHQ
BLD_CHR_01,Building,Chronolegion Temporal Anchor,Chronolegion,Retro-Futuristic Anomaly Core,35000,4K PBR (Diff/Normal/ORM/ColorMask),4,True,None,0,Acquired / Procedural Placeholder,/Game/Buildings/Chrono/SM_ChronoAnchor,ABuilding_ChronoAnchor
UNT_SOV_01,Vehicle,Heavy Apocalypse Tank,Soviet Union,Twin-Cannon Heavy Crawler,28000,2K PBR (Diff/Normal/ORM/ColorMask),3,False,Vehicle Rig (Turret/Barrels/Tracks),4,Acquired / Procedural Placeholder,/Game/Units/Soviets/SK_ApocalypseTank,AVehicle_HeavyTank
UNT_ALL_01,Vehicle,Prism Mirage Hovercraft,Alliance,Energy Prism Stealth Tank,22000,2K PBR (Diff/Normal/ORM/ColorMask),3,False,Vehicle Rig (Turret/Emitters),3,Acquired / Procedural Placeholder,/Game/Units/Alliance/SK_PrismTank,AVehicle_PrismTank
INF_SOV_01,Infantry,Soviet Conscript Soldier,Soviet Union,Heavy Coat & Gasmask Infantry,8000,2K PBR (Diff/Normal/ColorMask),3,False,UE5 Humanoid Rig,18,Acquired / Procedural Placeholder,/Game/Units/Soviets/SK_Conscript,AInfantry_Conscript
INF_ALL_01,Infantry,Alliance Peacekeeper,Alliance,Tactical Armor Trooper,8500,2K PBR (Diff/Normal/ColorMask),3,False,UE5 Humanoid Rig,18,Acquired / Procedural Placeholder,/Game/Units/Alliance/SK_Peacekeeper,AInfantry_Peacekeeper
AUD_UI_01,Audio,EVA Voice Announcer (EN/RU),Global,Clear Tactical AI Dispatcher,N/A,N/A,N/A,False,None,0,Acquired / Procedural Placeholder,/Game/Audio/UI/Announcer,UEVAAnnouncerSubsystem
