StableID,Faction,Class,Name,Dimensions_Cm,Footprint,Pivot,Subparts,Sockets,Collision,ExportStatus,FilePath
SU_MCV_MobileYard,Soviet,Building,Mobile ConYard Vehicle,800x700x500,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_MCV_MobileYard_Blockout.fbx
SU_ConYard,Soviet,Building,Red Star Headquarters,800x800x600,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_ConYard_Blockout.fbx
SU_PowerPlant,Soviet,Building,Thermal Reactor,600x600x500,3x3,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_PowerPlant_Blockout.fbx
SU_Refinery,Soviet,Building,Ore Combine Facility,800x800x450,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_Refinery_Blockout.fbx
SU_Barracks,Soviet,Building,Mobilization Barracks,600x600x400,3x3,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_Barracks_Blockout.fbx
SU_WarFactory,Soviet,Building,Heavy Industrial Plant,800x800x500,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_WarFactory_Blockout.fbx
SU_Airfield,Soviet,Building,Strategic Aviation Airfield,800x800x450,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_Airfield_Blockout.fbx
SU_NavalYard,Soviet,Building,Naval Dock,1000x1000x500,5x5,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_NavalYard_Blockout.fbx
SU_Radar,Soviet,Building,Command Radar Tower,400x400x700,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_Radar_Blockout.fbx
SU_TechCenter,Soviet,Building,Thunder Science Complex,600x600x550,3x3,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_TechCenter_Blockout.fbx
SU_GunTurret,Soviet,Building,Pillbox Auto-Gun,400x400x300,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_GunTurret_Blockout.fbx
SU_AATurret,Soviet,Building,Shilka AA Tower,400x400x350,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_AATurret_Blockout.fbx
SU_TeslaTower,Soviet,Building,Perun Tesla Coil,400x400x550,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_TeslaTower_Blockout.fbx
SU_Bunker,Soviet,Building,Forward Outpost Bunker,400x400x250,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_Bunker_Blockout.fbx
SU_SuperweaponDome,Soviet,Building,Iron Dome Complex,1000x1000x850,5x5,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_SuperweaponDome_Blockout.fbx
SU_SuperweaponSilo,Soviet,Building,Punisher Missile Silo,1000x1000x950,5x5,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_SuperweaponSilo_Blockout.fbx
SU_RubezhRifleman,Soviet,Infantry,Rubezh Rifleman MS-12,60x60x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_RubezhRifleman_Blockout.fbx
SU_ZapalGrenadier,Soviet,Infantry,Zapal Assault Grenadier,70x70x185,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_ZapalGrenadier_Blockout.fbx
SU_ZaslonAATeam,Soviet,Infantry,Zaslon AA Missile Team,65x65x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_ZaslonAATeam_Blockout.fbx
SU_MasterEngineer,Soviet,Infantry,Master Engineer Sapper,60x60x175,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_MasterEngineer_Blockout.fbx
SU_RazryadTrooper,Soviet,Infantry,Razryad Tesla Trooper,80x80x195,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_RazryadTrooper_Blockout.fbx
SU_VektorOfficer,Soviet,Infantry,Vektor Signal Officer,60x60x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_VektorOfficer_Blockout.fbx
