AssetId,Faction,VoiceId,EventTag,CandidateId,OutputFile,DurationSeconds,SampleRate,BitDepth,LUFS,PeakDb,Status,QC_Notes
VO_EVA_CH_INFANTRY_READY_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_INFANTRY_READY_03.wav,3.392,48000,24,-18.0,-2.03,PASS,
VO_EVA_CH_FACTION_ABILITY_ACTIVATED_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_ABILITY_ACTIVATED_03.wav,3.011,48000,24,-18.01,-2.15,PASS,
VO_EVA_CH_RESOURCES_DEPLETED_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_RESOURCES_DEPLETED_03.wav,3.293,48000,24,-18.01,-1.92,PASS,
VO_EVA_CH_CONSTRUCTION_COMPLETE_04,Chrono,,04,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_CONSTRUCTION_COMPLETE_04.wav,2.414,48000,24,-18.04,-1.88,PASS,
VO_EVA_CH_RESOURCES_DEPLETED_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_RESOURCES_DEPLETED_02.wav,2.731,48000,24,-18.0,-3.12,PASS,
VO_EVA_CH_OWN_SUPERWEAPON_FIRED_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_OWN_SUPERWEAPON_FIRED_01.wav,3.332,48000,24,-18.0,-3.44,PASS,
VO_EVA_CH_FACTION_ABILITY_ACTIVATED_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_ABILITY_ACTIVATED_02.wav,2.704,48000,24,-18.0,-1.52,PASS,
VO_EVA_CH_INFANTRY_READY_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_INFANTRY_READY_02.wav,3.631,48000,24,-18.0,-1.4,PASS,
VO_EVA_CH_RESOURCES_DEPLETED_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_RESOURCES_DEPLETED_01.wav,3.582,48000,24,-18.0,-1.52,PASS,
VO_Chrono_EVA_GameStart,Chrono,,GameStart,,Content/RA4/Audio/EVA/Processed/Chrono/VO_Chrono_EVA_GameStart.wav,4.836,48000,24,-18.42,-1.92,PASS,
VO_EVA_CH_OWN_SUPERWEAPON_FIRED_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_OWN_SUPERWEAPON_FIRED_02.wav,3.468,48000,24,-18.0,-2.0,PASS,
VO_EVA_CH_FACTION_ABILITY_ACTIVATED_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_ABILITY_ACTIVATED_01.wav,2.577,48000,24,-18.0,-3.28,PASS,
VO_EVA_CH_INFANTRY_READY_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_INFANTRY_READY_01.wav,3.17,48000,24,-18.0,-1.43,PASS,
VO_EVA_CH_CONSTRUCTION_COMPLETE_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_CONSTRUCTION_COMPLETE_02.wav,2.505,48000,24,-18.0,-2.41,PASS,
VO_EVA_CH_CONSTRUCTION_CANCELLED_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_CONSTRUCTION_CANCELLED_01.wav,2.75,48000,24,-18.0,-2.34,PASS,
VO_EVA_CH_MOBILE_COMMAND_UNIT_DESTROYED_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_MOBILE_COMMAND_UNIT_DESTROYED_02.wav,2.666,48000,24,-18.04,-1.98,PASS,
VO_EVA_CH_CONSTRUCTION_COMPLETE_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_CONSTRUCTION_COMPLETE_03.wav,3.25,48000,24,-18.0,-1.25,PASS,
VO_EVA_CH_FACTION_ABILITY_READY_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_ABILITY_READY_01.wav,2.762,48000,24,-18.0,-1.43,PASS,
VO_EVA_CH_INFANTRY_READY_04,Chrono,,04,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_INFANTRY_READY_04.wav,2.196,48000,24,-18.0,-2.78,PASS,
VO_EVA_CH_FACTION_ABILITY_READY_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_ABILITY_READY_03.wav,2.655,48000,24,-18.02,-2.0,PASS,
VO_EVA_CH_CONSTRUCTION_COMPLETE_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_CONSTRUCTION_COMPLETE_01.wav,2.633,48000,24,-18.01,-1.93,PASS,
VO_EVA_CH_CONSTRUCTION_CANCELLED_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_CONSTRUCTION_CANCELLED_02.wav,2.486,48000,24,-18.04,-1.95,PASS,
VO_EVA_CH_CONSTRUCTION_CANCELLED_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_CONSTRUCTION_CANCELLED_03.wav,2.343,48000,24,-18.02,-1.92,PASS,
VO_EVA_CH_MOBILE_COMMAND_UNIT_DESTROYED_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_MOBILE_COMMAND_UNIT_DESTROYED_01.wav,3.676,48000,24,-18.0,-3.98,PASS,
VO_EVA_CH_FACTION_ABILITY_READY_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_ABILITY_READY_02.wav,2.785,48000,24,-18.01,-1.93,PASS,
VO_EVA_CH_UPGRADE_COMPLETE_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_UPGRADE_COMPLETE_03.wav,2.656,48000,24,-18.01,-1.93,PASS,
VO_Chrono_EVA_UnitReady,Chrono,,UnitReady,,Content/RA4/Audio/EVA/Processed/Chrono/VO_Chrono_EVA_UnitReady.wav,4.616,48000,24,-18.42,-1.92,PASS,
VO_EVA_CH_ALLIED_BASE_UNDER_ATTACK_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_ALLIED_BASE_UNDER_ATTACK_01.wav,3.564,48000,24,-18.0,-2.17,PASS,
VO_EVA_CH_MATCH_START_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_MATCH_START_02.wav,5.329,48000,24,-18.01,-2.03,PASS,
VO_EVA_CH_UPGRADE_COMPLETE_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_UPGRADE_COMPLETE_02.wav,3.169,48000,24,-18.02,-1.99,PASS,
VO_EVA_CH_ALLIED_BASE_UNDER_ATTACK_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_ALLIED_BASE_UNDER_ATTACK_03.wav,3.634,48000,24,-18.0,-2.54,PASS,
VO_EVA_CH_ALLIED_BASE_UNDER_ATTACK_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_ALLIED_BASE_UNDER_ATTACK_02.wav,3.45,48000,24,-18.0,-3.14,PASS,
VO_EVA_CH_MATCH_START_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_MATCH_START_01.wav,6.168,48000,24,-18.01,-1.94,PASS,
VO_Chrono_EVA_BuildingConstructionComplete,Chrono,,BuildingConstructionComplete,,Content/RA4/Audio/EVA/Processed/Chrono/VO_Chrono_EVA_BuildingConstructionComplete.wav,4.359,48000,24,-18.42,-1.92,PASS,
VO_Chrono_EVA_SuperweaponReady,Chrono,,SuperweaponReady,,Content/RA4/Audio/EVA/Processed/Chrono/VO_Chrono_EVA_SuperweaponReady.wav,4.359,48000,24,-18.42,-1.92,PASS,
VO_EVA_CH_UPGRADE_COMPLETE_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_UPGRADE_COMPLETE_01.wav,2.259,48000,24,-18.02,-1.97,PASS,
VO_EVA_CH_STRUCTURE_SOLD_03,Chrono,,03,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_STRUCTURE_SOLD_03.wav,2.776,48000,24,-18.0,-3.18,PASS,
VO_EVA_CH_HERO_LOST_02,Chrono,,02,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_HERO_LOST_02.wav,3.526,48000,24,-18.0,-3.72,PASS,
VO_EVA_CH_FACTION_RESOURCE_CRITICAL_01,Chrono,,01,,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_RESOURCE_CRITICAL_01.wav,3.157,48000,24,-18.0,-1.37,PASS,
VO_Chrono_EVA_ResourcesLow,Chrono,,ResourcesLow,,Content/RA4/Audio/EVA/Processed/Chrono/VO_Chrono_EVA_ResourcesLow.wav,4.766,48000,24,-18.42,-1.92,PASS,
