Faction,UnitId,VoiceId,EventTag,Variant,TextRu,SoundWave,Priority,CooldownSeconds,Weight,Status,SourceLine
Soviet,SU_RubezhRifleman,V_SU_RubezhRifleman_Selected,Voice.Selected,01,Мотострелок МС-12 «Рубеж» на связи.,SoundWave'/Game/Audio/VO/Soviet/SU_RubezhRifleman/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,304
Soviet,SU_RubezhRifleman,V_SU_RubezhRifleman_Move,Voice.Move,01,"Бежим, пока дорога свободна.",SoundWave'/Game/Audio/VO/Soviet/SU_RubezhRifleman/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,305
Soviet,SU_RubezhRifleman,V_SU_RubezhRifleman_Attack,Voice.Attack,01,Цель вижу. Открываю огонь.,SoundWave'/Game/Audio/VO/Soviet/SU_RubezhRifleman/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,306
Soviet,SU_RubezhRifleman,V_SU_RubezhRifleman_Ability,Voice.Ability,01,В землю! Держим позицию!,SoundWave'/Game/Audio/VO/Soviet/SU_RubezhRifleman/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,307
Soviet,SU_RubezhRifleman,V_SU_RubezhRifleman_Damaged,Voice.Damaged,01,Нас прижали!,SoundWave'/Game/Audio/VO/Soviet/SU_RubezhRifleman/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,308
Soviet,SU_RubezhRifleman,V_SU_RubezhRifleman_Elite,Voice.Elite,01,Теперь мы не просто пополнение.,SoundWave'/Game/Audio/VO/Soviet/SU_RubezhRifleman/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,309
Soviet,SU_RubezhRifleman,V_SU_RubezhRifleman_Idle,Voice.Idle,01,Обещали форму потеплее.,SoundWave'/Game/Audio/VO/Soviet/SU_RubezhRifleman/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,310
Soviet,SU_RubezhRifleman,V_SU_RubezhRifleman_Death,Voice.Death,01,Передайте… позицию держали.,SoundWave'/Game/Audio/VO/Soviet/SU_RubezhRifleman/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,311
Soviet,SU_ZapalGrenadier,V_SU_ZapalGrenadier_Selected,Voice.Selected,01,Гранаты снаряжены.,SoundWave'/Game/Audio/VO/Soviet/SU_ZapalGrenadier/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,344
Soviet,SU_ZapalGrenadier,V_SU_ZapalGrenadier_Move,Voice.Move,01,Подойдём на бросок.,SoundWave'/Game/Audio/VO/Soviet/SU_ZapalGrenadier/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,345
Soviet,SU_ZapalGrenadier,V_SU_ZapalGrenadier_Attack,Voice.Attack,01,Накрываю сектор!,SoundWave'/Game/Audio/VO/Soviet/SU_ZapalGrenadier/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,346
Soviet,SU_ZapalGrenadier,V_SU_ZapalGrenadier_Ability,Voice.Ability,01,Термобарический — внутрь!,SoundWave'/Game/Audio/VO/Soviet/SU_ZapalGrenadier/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,347
Soviet,SU_ZapalGrenadier,V_SU_ZapalGrenadier_Damaged,Voice.Damaged,01,Осколками задело!,SoundWave'/Game/Audio/VO/Soviet/SU_ZapalGrenadier/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,348
Soviet,SU_ZapalGrenadier,V_SU_ZapalGrenadier_Elite,Voice.Elite,01,Теперь попадаю с первого броска.,SoundWave'/Game/Audio/VO/Soviet/SU_ZapalGrenadier/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,349
Soviet,SU_ZapalGrenadier,V_SU_ZapalGrenadier_Idle,Voice.Idle,01,Главное — не перепутать сумки.,SoundWave'/Game/Audio/VO/Soviet/SU_ZapalGrenadier/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,350
Soviet,SU_ZapalGrenadier,V_SU_ZapalGrenadier_Death,Voice.Death,01,Чека… уже выдернута…,SoundWave'/Game/Audio/VO/Soviet/SU_ZapalGrenadier/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,351
Soviet,SU_ZaslonAATeam,V_SU_ZaslonAATeam_Selected,Voice.Selected,01,Небо под контролем.,SoundWave'/Game/Audio/VO/Soviet/SU_ZaslonAATeam/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,384
Soviet,SU_ZaslonAATeam,V_SU_ZaslonAATeam_Move,Voice.Move,01,Ищу чистый сектор.,SoundWave'/Game/Audio/VO/Soviet/SU_ZaslonAATeam/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,385
Soviet,SU_ZaslonAATeam,V_SU_ZaslonAATeam_Attack,Voice.Attack,01,Высота подтверждена. Огонь!,SoundWave'/Game/Audio/VO/Soviet/SU_ZaslonAATeam/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,386
Soviet,SU_ZaslonAATeam,V_SU_ZaslonAATeam_Ability,Voice.Ability,01,Затаились. Пусть подлетят.,SoundWave'/Game/Audio/VO/Soviet/SU_ZaslonAATeam/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,387
Soviet,SU_ZaslonAATeam,V_SU_ZaslonAATeam_Damaged,Voice.Damaged,01,Расчёт под обстрелом!,SoundWave'/Game/Audio/VO/Soviet/SU_ZaslonAATeam/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,388
Soviet,SU_ZaslonAATeam,V_SU_ZaslonAATeam_Elite,Voice.Elite,01,Ни один борт не уйдёт.,SoundWave'/Game/Audio/VO/Soviet/SU_ZaslonAATeam/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,389
Soviet,SU_ZaslonAATeam,V_SU_ZaslonAATeam_Idle,Voice.Idle,01,Летят красиво. Падают лучше.,SoundWave'/Game/Audio/VO/Soviet/SU_ZaslonAATeam/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,390
Soviet,SU_ZaslonAATeam,V_SU_ZaslonAATeam_Death,Voice.Death,01,Небо… ваше…,SoundWave'/Game/Audio/VO/Soviet/SU_ZaslonAATeam/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,391
Soviet,SU_MasterEngineer,V_SU_MasterEngineer_Selected,Voice.Selected,01,Инструмент есть. План бы ещё.,SoundWave'/Game/Audio/VO/Soviet/SU_MasterEngineer/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,425
Soviet,SU_MasterEngineer,V_SU_MasterEngineer_Move,Voice.Move,01,Доберусь и починю.,SoundWave'/Game/Audio/VO/Soviet/SU_MasterEngineer/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,426
Soviet,SU_MasterEngineer,V_SU_MasterEngineer_Attack,Voice.Attack,01,Я не стрелок. Покажите объект.,SoundWave'/Game/Audio/VO/Soviet/SU_MasterEngineer/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,427
Soviet,SU_MasterEngineer,V_SU_MasterEngineer_Ability,Voice.Ability,01,Сейчас заведём эту развалину.,SoundWave'/Game/Audio/VO/Soviet/SU_MasterEngineer/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,428
Soviet,SU_MasterEngineer,V_SU_MasterEngineer_Damaged,Voice.Damaged,01,Инженера прикройте!,SoundWave'/Game/Audio/VO/Soviet/SU_MasterEngineer/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,429
Soviet,SU_MasterEngineer,V_SU_MasterEngineer_Elite,Voice.Elite,01,"Я починю даже то, чего ещё не построили.",SoundWave'/Game/Audio/VO/Soviet/SU_MasterEngineer/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,430
Soviet,SU_MasterEngineer,V_SU_MasterEngineer_Idle,Voice.Idle,01,По инструкции это должно было работать.,SoundWave'/Game/Audio/VO/Soviet/SU_MasterEngineer/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,431
Soviet,SU_MasterEngineer,V_SU_MasterEngineer_Death,Voice.Death,01,Схема… была верной…,SoundWave'/Game/Audio/VO/Soviet/SU_MasterEngineer/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,432
Soviet,SU_RazryadTrooper,V_SU_RazryadTrooper_Selected,Voice.Selected,01,Контур заряжен.,SoundWave'/Game/Audio/VO/Soviet/SU_RazryadTrooper/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,465
Soviet,SU_RazryadTrooper,V_SU_RazryadTrooper_Move,Voice.Move,01,Ток пойдёт за нами.,SoundWave'/Game/Audio/VO/Soviet/SU_RazryadTrooper/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,466
Soviet,SU_RazryadTrooper,V_SU_RazryadTrooper_Attack,Voice.Attack,01,Разряд на цель!,SoundWave'/Game/Audio/VO/Soviet/SU_RazryadTrooper/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,467
Soviet,SU_RazryadTrooper,V_SU_RazryadTrooper_Ability,Voice.Ability,01,Перегрузка сети!,SoundWave'/Game/Audio/VO/Soviet/SU_RazryadTrooper/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,468
Soviet,SU_RazryadTrooper,V_SU_RazryadTrooper_Damaged,Voice.Damaged,01,Изоляция пробита!,SoundWave'/Game/Audio/VO/Soviet/SU_RazryadTrooper/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,469
Soviet,SU_RazryadTrooper,V_SU_RazryadTrooper_Elite,Voice.Elite,01,Молния слушается меня.,SoundWave'/Game/Audio/VO/Soviet/SU_RazryadTrooper/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,470
Soviet,SU_RazryadTrooper,V_SU_RazryadTrooper_Idle,Voice.Idle,01,Не трогайте кабель. Последнее предупреждение.,SoundWave'/Game/Audio/VO/Soviet/SU_RazryadTrooper/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,471
Soviet,SU_RazryadTrooper,V_SU_RazryadTrooper_Death,Voice.Death,01,Заземление… не сработало…,SoundWave'/Game/Audio/VO/Soviet/SU_RazryadTrooper/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,472
Soviet,SU_VektorOfficer,V_SU_VektorOfficer_Selected,Voice.Selected,01,Связь с фронтом установлена.,SoundWave'/Game/Audio/VO/Soviet/SU_VektorOfficer/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,506
Soviet,SU_VektorOfficer,V_SU_VektorOfficer_Move,Voice.Move,01,Передаю новый рубеж.,SoundWave'/Game/Audio/VO/Soviet/SU_VektorOfficer/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,507
Soviet,SU_VektorOfficer,V_SU_VektorOfficer_Attack,Voice.Attack,01,Приказ утверждён. Уничтожить.,SoundWave'/Game/Audio/VO/Soviet/SU_VektorOfficer/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,508
Soviet,SU_VektorOfficer,V_SU_VektorOfficer_Ability,Voice.Ability,01,Первый приказ: ни шага назад!,SoundWave'/Game/Audio/VO/Soviet/SU_VektorOfficer/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,509
Soviet,SU_VektorOfficer,V_SU_VektorOfficer_Damaged,Voice.Damaged,01,Канал под огнём!,SoundWave'/Game/Audio/VO/Soviet/SU_VektorOfficer/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,510
Soviet,SU_VektorOfficer,V_SU_VektorOfficer_Elite,Voice.Elite,01,Теперь армия слышит меня без помех.,SoundWave'/Game/Audio/VO/Soviet/SU_VektorOfficer/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,511
Soviet,SU_VektorOfficer,V_SU_VektorOfficer_Idle,Voice.Idle,01,Молчание в эфире подозрительнее стрельбы.,SoundWave'/Game/Audio/VO/Soviet/SU_VektorOfficer/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,512
Soviet,SU_VektorOfficer,V_SU_VektorOfficer_Death,Voice.Death,01,Командование… продолжайте без меня.,SoundWave'/Game/Audio/VO/Soviet/SU_VektorOfficer/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,513
Soviet,SU_BogatyrOreCarrier,V_SU_BogatyrOreCarrier_Selected,Voice.Selected,01,Богатырь готов к рейсу.,SoundWave'/Game/Audio/VO/Soviet/SU_BogatyrOreCarrier/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,546
Soviet,SU_BogatyrOreCarrier,V_SU_BogatyrOreCarrier_Move,Voice.Move,01,Тяжёлый груз идёт.,SoundWave'/Game/Audio/VO/Soviet/SU_BogatyrOreCarrier/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,547
Soviet,SU_BogatyrOreCarrier,V_SU_BogatyrOreCarrier_Attack,Voice.Attack,01,Оружия нет. Могу переехать.,SoundWave'/Game/Audio/VO/Soviet/SU_BogatyrOreCarrier/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,548
