Key,SourceString,Translation
ui.splash.press_any_key,"НАЖМИТЕ ЛЮБУЮ КЛАВИШУ ДЛЯ ПРОДОЛЖЕНИЯ","НАЖМИТЕ ЛЮБУЮ КЛАВИШУ ДЛЯ ПРОДОЛЖЕНИЯ"
ui.splash.title,"RED ALERT 4","RED ALERT 4"
ui.main_menu.title,"ГЛАВНОЕ МЕНЮ","ГЛАВНОЕ МЕНЮ"
ui.main_menu.campaign,"Кампания","Кампания"
ui.main_menu.multiplayer,"Сетевая игра","Сетевая игра"
ui.main_menu.skirmish,"Схватка","Схватка"
ui.main_menu.editor,"Редактор карт","Редактор карт"
ui.main_menu.encyclopedia,"Энциклопедия","Энциклопедия"
ui.main_menu.mods,"Модификации","Модификации"
ui.main_menu.settings,"Настройки","Настройки"
ui.main_menu.exit,"Выход из игры","Выход из игры"
ui.campaign.select_faction,"ВЫБОР ФРАКЦИИ И КАМПАНИИ","ВЫБОР ФРАКЦИИ И КАМПАНИИ"
ui.campaign.ussr.title,"СССР: Красный Рассвет","СССР: Красный Рассвет"
ui.campaign.allies.title,"Альянс: Защита Свободы","Альянс: Защита Свободы"
ui.campaign.eastern.title,"Восточная Коалиция: Нефритовый Заслон","Восточная Коалиция: Нефритовый Заслон"
ui.campaign.chrono.title,"Хронолегион: Временной Континуум","Хронолегион: Временной Континуум"
ui.mission_map.title,"КАРТА БОЕВЫХ ДЕЙСТВИЙ","КАРТА БОЕВЫХ ДЕЙСТВИЙ"
ui.briefing.operation_data,"БРИФИНГ ОПЕРАЦИИ","БРИФИНГ ОПЕРАЦИИ"
ui.video_comms.secure_channel,"ЗАЩИЩЁННЫЙ КАНАЛ СВЯЗИ СШК","ЗАЩИЩЁННЫЙ КАНАЛ СВЯЗИ СШК"
ui.loading.initializing,"ИНИЦИАЛИЗАЦИЯ СИМУЛЯЦИИ И ТАКТИЧЕСКИХ ДАННЫХ...","ИНИЦИАЛИЗАЦИЯ СИМУЛЯЦИИ И ТАКТИЧЕСКИХ ДАННЫХ..."
ui.hud.soviet.command,"КОМАНДНЫЙ ИНТЕРФЕЙС СССР","КОМАНДНЫЙ ИНТЕРФЕЙС СССР"
ui.hud.allies.command,"ШТАБ ВВС И ВМС АЛЬЯНСА","ШТАБ ВВС И ВМС АЛЬЯНСА"
ui.hud.eastern.command,"ЦЕНТР УПРАВЛЕНИЯ ВОСТОЧНОЙ КОАЛИЦИИ","ЦЕНТР УПРАВЛЕНИЯ ВОСТОЧНОЙ КОАЛИЦИИ"
ui.hud.chrono.command,"ТЕМПОРАЛЬНЫЙ УЗЕЛ ХРОНОЛЕГИОНА","ТЕМПОРАЛЬНЫЙ УЗЕЛ ХРОНОЛЕГИОНА"
ui.lobby.title,"СЕТЕВОЕ ЛОББИ СХВАТКИ","СЕТЕВОЕ ЛОББИ СХВАТКИ"
ui.pause.title,"ПАУЗА","ПАУЗА"
ui.pause.resume,"Продолжить","Продолжить"
ui.pause.surrender,"Сдаться","Сдаться"
ui.result.victory,"ПОБЕДА!","ПОБЕДА!"
ui.result.defeat,"PORAжение!","ПОРАЖЕНИЕ!"
ui.settings.title,"НАСТРОЙКИ ИГРЫ","НАСТРОЙКИ ИГРЫ"
ui.settings.graphics,"Графика","Графика"
ui.settings.audio,"Звук","Звук"
ui.settings.gameplay,"Игровой процесс","Игровой процесс"
ui.settings.input,"Управление","Управление"
