SoundWaveName,SourceFile,FactionTag,UnitTag,EventTag,SubtitleKey,Priority,CooldownSeconds,Weight,ConcurrencyGroup
VO_EVA_Chrono_Base_UnderAttack_01,GeneratedVO/EVA/Chrono/VO_EVA_Chrono_Base_UnderAttack_01.wav,Chrono,EVA,Base.UnderAttack,EVA_Chrono_Base_UnderAttack_01,80,5,1.0,eva_Chrono
VO_EVA_Chrono_Game_Start_01,GeneratedVO/EVA/Chrono/VO_EVA_Chrono_Game_Start_01.wav,Chrono,EVA,Game.Start,EVA_Chrono_Game_Start_01,70,5,1.0,eva_Chrono
VO_EVA_Chrono_Player_Victory_01,GeneratedVO/EVA/Chrono/VO_EVA_Chrono_Player_Victory_01.wav,Chrono,EVA,Player.Victory,EVA_Chrono_Player_Victory_01,90,5,1.0,eva_Chrono
VO_EVA_Chrono_Resources_Low_01,GeneratedVO/EVA/Chrono/VO_EVA_Chrono_Resources_Low_01.wav,Chrono,EVA,Resources.Low,EVA_Chrono_Resources_Low_01,55,5,1.0,eva_Chrono
VO_EVA_Chrono_Unit_Ready_01,GeneratedVO/EVA/Chrono/VO_EVA_Chrono_Unit_Ready_01.wav,Chrono,EVA,Unit.Ready,EVA_Chrono_Unit_Ready_01,50,5,1.0,eva_Chrono
VO_EVA_Alliance_Base_UnderAttack_01,GeneratedVO/EVA/Alliance/VO_EVA_Alliance_Base_UnderAttack_01.wav,Alliance,EVA,Base.UnderAttack,EVA_Alliance_Base_UnderAttack_01,80,5,1.0,eva_Alliance
VO_EVA_Alliance_Game_Start_01,GeneratedVO/EVA/Alliance/VO_EVA_Alliance_Game_Start_01.wav,Alliance,EVA,Game.Start,EVA_Alliance_Game_Start_01,70,5,1.0,eva_Alliance
VO_EVA_Alliance_Player_Victory_01,GeneratedVO/EVA/Alliance/VO_EVA_Alliance_Player_Victory_01.wav,Alliance,EVA,Player.Victory,EVA_Alliance_Player_Victory_01,90,5,1.0,eva_Alliance
VO_EVA_Alliance_Resources_Low_01,GeneratedVO/EVA/Alliance/VO_EVA_Alliance_Resources_Low_01.wav,Alliance,EVA,Resources.Low,EVA_Alliance_Resources_Low_01,55,5,1.0,eva_Alliance
VO_EVA_Alliance_Unit_Ready_01,GeneratedVO/EVA/Alliance/VO_EVA_Alliance_Unit_Ready_01.wav,Alliance,EVA,Unit.Ready,EVA_Alliance_Unit_Ready_01,50,5,1.0,eva_Alliance
VO_EVA_Coalition_Base_UnderAttack_01,GeneratedVO/EVA/Coalition/VO_EVA_Coalition_Base_UnderAttack_01.wav,Coalition,EVA,Base.UnderAttack,EVA_Coalition_Base_UnderAttack_01,80,5,1.0,eva_Coalition
VO_EVA_Coalition_Game_Start_01,GeneratedVO/EVA/Coalition/VO_EVA_Coalition_Game_Start_01.wav,Coalition,EVA,Game.Start,EVA_Coalition_Game_Start_01,70,5,1.0,eva_Coalition
VO_EVA_Coalition_Player_Victory_01,GeneratedVO/EVA/Coalition/VO_EVA_Coalition_Player_Victory_01.wav,Coalition,EVA,Player.Victory,EVA_Coalition_Player_Victory_01,90,5,1.0,eva_Coalition
VO_EVA_Coalition_Resources_Low_01,GeneratedVO/EVA/Coalition/VO_EVA_Coalition_Resources_Low_01.wav,Coalition,EVA,Resources.Low,EVA_Coalition_Resources_Low_01,55,5,1.0,eva_Coalition
VO_EVA_Coalition_Unit_Ready_01,GeneratedVO/EVA/Coalition/VO_EVA_Coalition_Unit_Ready_01.wav,Coalition,EVA,Unit.Ready,EVA_Coalition_Unit_Ready_01,50,5,1.0,eva_Coalition
